age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_count,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,over18,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,year_birth,salary,remote_work
51,No,Unknown,684.0,Research & Development,6,3,Other,1,162.0,1,0,51,3,5,Research Director,3,Unknown,19537.0,6462.0,7,Yes,No,13,3.0,3,,0,,5,3.0,20,15,15,1972,1000000000.0,Yes
52,No,Unknown,699.0,Research & Development,1,4,Life Sciences,1,259.0,3,0,65,2,5,Manager,3,Unknown,19999.0,5678.0,0,Yes,No,14,3.0,1,,1,34.0,5,3.0,33,11,9,1971,1000000000.0,Yes
42,No,travel rarely,532.0,Research & Development,4,2,Technical Degree,1,319.0,3,0,58,3,5,Manager,4,Married,19232.0,4933.0,1,Yes,No,11,3.0,4,,0,22.0,3,,22,11,15,1981,1000000000.0,Yes
47,No,travel rarely,359.0,Research & Development,2,4,Medical,1,,1,1,82,3,4,Research Director,3,Married,17169.0,26703.0,3,Yes,No,19,3.0,2,,2,,2,,20,5,6,1976,1000000000.0,No
48,No,Unknown,117.0,Research & Development,22,3,Medical,1,1900.0,4,1,58,3,4,Manager,4,Unknown,17174.0,2437.0,3,Yes,No,11,3.0,2,,1,,3,3.0,22,4,7,1975,1000000000.0,Yes
59,No,Unknown,1435.0,Sales,25,3,Life Sciences,1,81.0,1,1,99,3,3,Sales Executive,1,Unknown,,2354.0,7,Yes,No,11,3.0,4,,0,28.0,3,2.0,21,7,9,1964,1000000000.0,Yes
42,No,travel rarely,635.0,Sales,1,1,Other,1,387.0,2,0,99,3,2,Sales Executive,3,Married,,24532.0,1,Yes,No,25,4.0,3,,0,20.0,3,3.0,20,11,6,1981,1000000000.0,No
41,No,travel frequently,840.0,Research & Development,9,3,Other,1,999.0,1,0,64,3,5,Research Director,3,Unknown,,3735.0,2,Yes,No,17,3.0,2,,1,21.0,2,4.0,18,0,11,1982,1000000000.0,No
41,No,non travel,247.0,Research & Development,7,1,Other,1,1035.0,2,1,55,1,5,Research Director,3,Unknown,19973.0,20284.0,1,Yes,No,22,4.0,2,,2,,3,3.0,21,5,10,1982,1000000000.0,No
41,Yes,travel rarely,1360.0,Research & Development,12,3,Other,1,58.0,2,1,49,3,5,Research Director,3,Married,19545.0,16280.0,1,Yes,No,12,3.0,4,,0,,0,3.0,22,15,8,1982,1000000000.0,No
